"","date","MMWR_Year","MMWR_Week","MMWR_Month","State_Full","State","Population","Region","Region_Name","Cases","New_Hosp","Total_Hosp","ICU_Hosp","Covid_Deaths","Series_Complete","Series_Complete_Pct","Booster","Bivalent_Booster","Bivalent_Booster_Pct"
"46",2020-01-25,2020,4,1,"Vermont","VT",642977,"1","New England",0,0,0,0,0,0,0,0,0,0
"47",2020-01-25,2020,4,1,"Virginia","VA",8637615,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"48",2020-01-25,2020,4,1,"Washington","WA",7727209,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"49",2020-01-25,2020,4,1,"West Virginia","WV",1791646,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"50",2020-01-25,2020,4,1,"Wisconsin","WI",5897375,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"51",2020-01-25,2020,4,1,"Wyoming","WY",577681,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"52",2020-01-25,2020,4,1,"Puerto Rico","PR",3281590,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"53",2020-02-01,2020,5,2,"Alabama","AL",5033094,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"54",2020-02-01,2020,5,2,"Alaska","AK",733017,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"55",2020-02-01,2020,5,2,"Arizona","AZ",7187135,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"56",2020-02-01,2020,5,2,"Arkansas","AR",3014546,"6","South Central",0,0,0,0,0,0,0,0,0,0
"57",2020-02-01,2020,5,2,"California","CA",39521958,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"58",2020-02-01,2020,5,2,"Colorado","CO",5787129,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"59",2020-02-01,2020,5,2,"Connecticut","CT",3579918,"1","New England",0,0,0,0,0,0,0,0,0,0
"60",2020-02-01,2020,5,2,"Delaware","DE",991928,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"61",2020-02-01,2020,5,2,"District of Columbia","DC",670917,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"62",2020-02-01,2020,5,2,"Florida","FL",21592035,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"63",2020-02-01,2020,5,2,"Georgia","GA",10732888,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"64",2020-02-01,2020,5,2,"Hawaii","HI",1451252,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"65",2020-02-01,2020,5,2,"Idaho","ID",1849415,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"66",2020-02-01,2020,5,2,"Illinois","IL",12799088,"5","Midwest",0,0,0,0,0,0,0,0,0,0
